Student_ID,Study_Hours_Per_Week,Attendance_Rate,Assignment_Score,Quizzes_Score,Final_Score,Pass_Fail
STU_1861,7.3,72.1,82.5,57.7,69.1,Pass
STU_0354,9.5,88.4,81.8,75.0,81.9,Pass
STU_1334,5.6,67.7,50.8,68.6,53.1,Fail
STU_0906,11.4,73.1,81.5,60.9,58.0,Fail
STU_1290,4.7,66.8,47.4,38.0,62.2,Pass
STU_1274,9.7,64.3,94.7,69.7,58.0,Fail
STU_0939,6.4,49.3,53.8,54.7,48.0,Fail
STU_1732,13.0,88.9,49.5,55.3,59.2,Fail
STU_0066,7.6,59.2,79.6,72.3,76.8,Pass
STU_1324,9.3,89.3,90.3,55.0,68.1,Pass
STU_0057,5.0,52.8,68.4,75.9,58.5,Fail
STU_1293,11.6,91.0,77.4,34.5,50.8,Fail
STU_1119,10.8,93.9,67.3,76.2,67.7,Pass
STU_0585,19.9,93.9,84.1,90.8,72.6,Pass
STU_0375,20.9,100.0,93.2,74.3,77.4,Pass
STU_0276,5.5,61.2,32.2,49.0,54.3,Fail
STU_0747,8.1,75.8,64.1,84.7,56.6,Fail
STU_0129,10.8,100.0,81.2,60.3,74.3,Pass
STU_1647,9.7,77.9,59.7,90.1,71.4,Pass
STU_1853,4.3,53.6,82.3,26.3,59.5,Fail
STU_0675,4.1,69.3,55.3,56.0,63.5,Pass
STU_1665,11.0,71.8,86.4,62.2,59.4,Fail
STU_1982,7.8,57.6,54.0,56.8,46.4,Fail
STU_1084,12.3,61.1,61.2,99.0,66.3,Pass
STU_1923,5.9,66.3,86.7,18.7,62.7,Pass
STU_0100,12.5,84.4,67.7,83.7,51.2,Fail
STU_1180,4.3,57.8,60.7,61.8,64.2,Pass
STU_0965,14.8,97.4,87.1,88.3,71.8,Pass
STU_0793,8.9,74.2,98.1,69.1,79.7,Pass
STU_0030,14.4,82.5,73.4,100.0,70.4,Pass
STU_0629,7.7,91.4,67.7,94.2,71.7,Pass
STU_0945,7.9,75.7,88.7,74.6,65.9,Pass
STU_0573,4.0,60.2,58.4,55.7,45.6,Fail
STU_0908,7.1,88.0,71.8,79.6,63.4,Pass
STU_1081,4.7,51.5,62.0,65.2,76.2,Pass
STU_0451,10.5,75.9,82.5,68.3,77.8,Pass
STU_1610,0.7,47.7,46.8,77.2,55.7,Fail
STU_1291,10.2,67.4,64.0,78.6,61.3,Pass
STU_1079,11.6,71.2,52.7,53.2,67.6,Pass
STU_0255,18.9,100.0,66.7,97.2,77.1,Pass
STU_0125,14.6,89.8,92.5,73.2,72.3,Pass
STU_1928,3.5,40.6,59.5,30.9,50.1,Fail
